,0
532,2.94
533,2.915
534,2.832
535,2.705
536,2.553
537,2.394
538,2.239
539,2.109
540,2.0
541,1.924
542,1.87
543,1.841
544,1.826
545,1.819
546,1.819
547,1.823
548,1.83
549,1.83
550,1.83
551,1.826
552,1.826
553,1.826
554,1.826
555,1.826
556,1.823
557,1.823
558,1.823
559,1.823
560,1.823
561,1.823
562,1.823
563,1.823
564,1.823
565,1.826
566,1.826
567,1.826
568,1.826
569,1.826
570,1.83
571,1.83
572,1.837
573,1.834
574,1.837
575,1.834
576,1.834
577,1.83
578,1.826
579,1.826
580,1.826
581,1.826
582,1.83
583,1.83
584,1.826
585,1.823
586,1.823
587,1.819
588,1.819
589,1.819
590,1.819
591,1.819
592,1.819
593,1.823
594,1.819
595,1.816
596,1.816
597,1.816
598,1.816
599,1.816
600,1.812
601,1.812
602,1.812
603,1.812
604,1.816
605,1.816
606,1.816
607,1.812
608,1.812
609,1.812
610,1.816
611,1.819
612,1.819
613,1.823
614,1.826
615,1.834
616,1.83
617,1.83
618,1.83
619,1.83
620,1.834
621,1.837
622,1.841
623,1.841
624,1.841
625,1.837
626,1.837
627,1.834
628,1.834
629,1.834
630,1.837
631,1.841
632,1.845
633,1.845
634,1.848
635,1.852
636,1.855
637,1.855
638,1.859
639,1.855
640,1.855
641,1.855
642,1.859
643,1.859
644,1.863
645,1.863
646,1.87
647,1.874
648,1.874
649,1.874
650,1.877
651,1.881
652,1.881
653,1.884
654,1.884
655,1.888
656,1.892
657,1.895
658,1.899
659,1.895
660,1.899
661,1.899
662,1.899
663,1.899
664,1.899
665,1.899
666,1.906
667,1.906
668,1.91
669,1.91
670,1.91
671,1.91
672,1.91
673,1.906
674,1.902
675,1.895
676,1.892
677,1.884
678,1.877
679,1.874
680,1.866
681,1.859
682,1.852
683,1.848
684,1.845
685,1.841
686,1.834
687,1.826
688,1.819
689,1.816
690,1.812
691,1.812
692,1.812
693,1.808
694,1.808
695,1.808
696,1.805
697,1.805
698,1.801
699,1.801
700,1.801
701,1.805
702,1.805
703,1.808
704,1.812
705,1.816
706,1.819
707,1.819
708,1.823
709,1.819
710,1.819
711,1.823
712,1.826
713,1.83
714,1.83
715,1.834
716,1.837
717,1.837
718,1.841
719,1.845
720,1.845
721,1.845
722,1.841
723,1.845
724,1.841
725,1.841
726,1.841
727,1.837
728,1.834
729,1.83
730,1.826
731,1.826
732,1.826
733,1.83
734,1.834
735,1.83
736,1.826
737,1.826
738,1.826
739,1.826
740,1.826
741,1.826
742,1.826
743,1.83
744,1.826
745,1.826
746,1.826
747,1.83
748,1.83
749,1.83
750,1.826
751,1.83
752,1.83
753,1.834
754,1.834
755,1.837
756,1.837
757,1.83
758,1.83
759,1.83
760,1.83
761,1.83
762,1.834
763,1.841
764,1.845
765,1.845
766,1.845
767,1.841
768,1.837
769,1.837
770,1.837
771,1.841
772,1.845
773,1.852
774,1.852
775,1.855
776,1.855
777,1.852
778,1.848
779,1.852
780,1.852
781,1.852
782,1.852
783,1.855
784,1.859
785,1.859
786,1.863
787,1.863
788,1.866
789,1.863
790,1.866
791,1.866
792,1.866
793,1.863
794,1.863
795,1.863
796,1.863
797,1.863
798,1.863
799,1.866
800,1.866
801,1.87
802,1.874
803,1.874
804,1.877
805,1.877
806,1.874
807,1.874
808,1.874
809,1.874
810,1.874
811,1.877
812,1.877
813,1.881
814,1.884
815,1.884
816,1.884
817,1.888
818,1.888
819,1.888
820,1.888
821,1.888
822,1.888
823,1.892
824,1.892
825,1.888
826,1.884
827,1.884
828,1.881
829,1.881
830,1.884
831,1.888
832,1.884
833,1.884
834,1.884
835,1.888
836,1.888
837,1.892
838,1.888
839,1.888
840,1.884
841,1.884
842,1.888
843,1.884
844,1.888
845,1.888
846,1.888
847,1.888
848,1.888
849,1.884
850,1.884
851,1.884
852,1.881
853,1.881
854,1.877
855,1.877
856,1.877
857,1.874
858,1.87
859,1.87
860,1.87
861,1.87
862,1.874
863,1.874
864,1.877
865,1.874
866,1.874
867,1.87
868,1.866
869,1.863
870,1.863
871,1.863
872,1.866
873,1.866
874,1.87
875,1.87
876,1.866
877,1.87
878,1.874
879,1.881
880,1.884
881,1.888
882,1.884
883,1.881
884,1.881
885,1.881
886,1.877
887,1.874
888,1.874
889,1.874
890,1.877
891,1.877
892,1.877
893,1.881
894,1.881
895,1.881
896,1.881
897,1.881
898,1.881
899,1.877
900,1.877
901,1.877
902,1.877
903,1.874
904,1.874
905,1.874
906,1.874
