,0
532,1.794
533,1.812
534,1.812
535,1.79
536,1.754
537,1.758
538,1.783
539,1.798
540,1.826
541,1.917
542,1.96
543,1.957
544,1.942
545,1.931
546,1.888
547,1.837
548,1.819
549,1.808
550,1.816
551,1.83
552,1.823
553,1.754
554,1.682
555,1.628
556,1.599
557,1.584
558,1.396
559,1.4
560,1.461
561,1.508
562,1.877
563,2.34
564,2.673
565,2.756
566,2.597
567,2.25
568,1.953
569,1.754
570,1.411
571,1.114
572,1.222
573,1.736
574,2.637
575,2.763
576,2.742
577,2.188
578,1.609
579,1.309
580,1.273
581,1.291
582,1.262
583,1.208
584,1.288
585,1.367
586,1.429
587,1.479
588,1.53
589,1.566
590,1.711
591,1.978
592,2.13
593,2.188
594,2.17
595,2.163
596,2.181
597,2.213
598,2.203
599,2.387
600,2.449
601,2.217
602,2.087
603,2.007
604,1.953
605,1.902
606,1.823
607,1.808
608,1.722
609,1.646
610,1.559
611,1.512
612,1.501
613,1.512
614,1.519
615,1.548
616,1.577
617,1.628
618,1.646
619,1.678
620,1.682
621,1.646
622,1.642
623,1.682
624,1.722
625,1.895
626,1.837
627,1.902
628,1.902
629,1.913
630,1.989
631,2.029
632,2.029
633,2.025
634,1.968
635,1.917
636,1.863
637,1.798
638,1.79
639,1.783
640,1.812
641,1.841
642,1.837
643,1.881
644,1.953
645,1.996
646,1.978
647,1.924
648,1.837
649,1.787
650,1.754
651,1.758
652,1.769
653,1.765
654,1.794
655,1.794
656,1.805
657,1.808
658,1.808
659,1.772
660,1.772
661,1.79
662,1.787
663,1.79
664,1.808
665,1.794
666,1.783
667,1.74
668,1.722
669,1.704
670,1.671
671,1.812
672,2.094
673,2.174
674,2.091
675,2.087
676,2.098
677,2.076
678,1.986
679,1.888
680,1.801
681,1.732
682,1.682
683,1.62
684,1.584
685,1.566
686,1.566
687,1.595
688,1.624
689,1.66
690,1.707
691,1.776
692,1.826
693,1.863
694,1.892
695,1.899
696,1.899
697,1.895
698,1.888
699,1.902
700,1.91
701,1.881
702,1.848
703,1.859
704,1.913
705,1.935
706,1.931
707,1.928
708,1.895
709,1.866
710,1.826
711,1.801
712,1.787
713,1.776
714,1.779
715,1.772
716,1.79
717,1.808
718,1.812
719,1.845
720,1.855
721,1.884
722,1.895
723,1.866
724,1.855
725,1.841
726,1.83
727,1.845
728,1.834
729,1.83
730,1.772
731,1.74
732,1.729
733,1.707
734,1.711
735,1.725
736,1.718
737,1.732
738,1.769
739,1.812
740,1.859
741,1.874
742,1.892
743,1.892
744,1.881
745,1.877
746,1.859
747,1.863
748,1.866
749,1.888
750,1.899
751,1.902
752,1.892
753,1.881
754,1.888
755,1.881
