,0
0,1.798
1,1.801
2,1.816
3,1.812
4,1.823
5,1.805
6,1.758
7,1.722
8,1.693
9,1.711
10,1.725
11,1.743
12,1.765
13,1.787
14,1.823
15,1.841
16,1.855
17,1.848
18,1.83
19,1.826
20,1.834
21,1.837
22,1.845
23,1.866
24,1.888
25,1.895
26,1.902
27,1.921
28,1.902
29,1.852
30,1.834
31,1.845
32,1.87
33,1.884
34,1.87
35,1.852
36,1.852
37,1.866
38,1.892
39,1.902
40,1.888
41,1.866
42,1.761
43,1.646
44,1.664
45,1.772
46,1.884
47,1.921
48,1.921
49,1.884
50,1.852
51,1.845
52,1.859
53,1.805
54,1.736
55,1.678
56,1.631
57,1.613
58,1.62
59,1.696
60,1.845
61,1.949
62,1.899
63,1.841
64,1.812
65,1.848
66,1.892
67,1.895
68,1.841
69,1.823
70,1.823
71,1.794
72,1.779
73,1.794
74,1.805
75,1.779
76,1.751
77,1.725
78,1.765
79,1.826
80,1.852
81,1.866
82,1.928
83,1.971
84,1.993
85,2.022
86,2.043
87,2.007
88,1.968
89,1.957
90,1.939
91,1.855
92,1.769
93,1.725
94,1.693
95,1.682
96,1.7
97,1.736
98,1.779
99,1.83
100,1.83
101,1.794
102,1.743
103,1.776
104,1.787
105,1.812
106,1.834
107,1.83
108,1.845
109,1.83
110,1.816
111,1.743
112,1.704
113,1.714
114,1.761
115,1.805
116,1.826
117,1.826
118,1.848
119,1.884
120,1.892
121,1.884
122,1.895
123,1.906
124,1.917
125,1.895
126,1.881
127,1.845
128,1.812
129,1.801
130,1.776
131,1.769
132,1.758
133,1.761
134,1.776
135,1.769
136,1.787
137,1.783
138,1.812
139,1.866
140,1.906
141,1.895
142,1.881
143,1.823
144,1.776
145,1.761
146,1.736
147,1.779
148,1.805
149,1.837
150,1.83
151,1.845
152,1.87
153,1.87
154,1.895
155,1.935
156,1.924
157,1.931
158,1.921
159,1.881
160,1.794
161,1.79
162,1.779
163,1.758
164,1.787
165,1.794
166,1.816
167,1.816
168,1.859
169,1.855
170,1.823
171,1.808
172,1.812
173,1.837
174,1.855
175,1.892
176,1.902
177,1.863
178,1.881
179,2.007
180,2.166
181,2.232
182,2.025
183,1.852
184,1.769
185,1.591
186,1.501
187,1.595
188,1.324
189,1.241
190,1.327
191,1.599
192,1.754
193,1.801
194,1.884
195,1.895
196,1.917
197,1.87
198,1.917
199,1.913
200,1.982
201,1.928
202,1.884
203,1.852
204,1.826
205,1.823
206,1.816
207,1.826
208,1.761
209,1.798
210,1.859
211,2.004
212,1.982
213,1.975
214,1.83
215,1.783
216,1.653
217,1.635
218,1.751
219,1.855
220,1.953
221,2.072
222,1.964
223,1.808
224,1.707
225,1.718
226,1.7
227,1.834
228,1.859
229,1.978
230,2.043
231,2.101
232,2.152
233,2.163
234,2.152
235,2.004
236,1.906
237,1.74
238,1.675
239,1.624
240,1.581
241,1.559
242,1.573
243,1.602
244,1.642
245,1.693
246,1.747
247,1.798
248,1.779
249,1.761
250,1.751
251,1.776
252,1.783
253,1.769
254,1.826
255,1.87
256,1.917
257,1.888
258,1.816
259,1.736
260,1.707
261,1.66
262,1.62
263,1.751
264,1.91
265,1.913
266,1.874
267,2.109
268,2.094
269,1.957
270,1.989
271,2.033
272,2.011
273,1.96
274,1.899
275,1.83
276,1.816
277,1.834
278,1.826
279,1.892
280,1.928
281,1.924
282,1.899
283,1.83
284,1.693
285,1.566
286,1.454
287,1.414
288,1.425
289,1.494
290,1.606
291,1.624
292,1.765
293,1.884
294,1.989
295,2.022
296,2.094
297,2.195
298,2.195
299,2.083
300,2.004
301,1.899
302,1.79
303,1.769
304,1.751
305,1.707
306,1.837
307,1.863
308,1.83
309,1.906
310,1.841
311,1.888
312,1.747
313,1.798
314,1.863
315,1.837
316,1.826
317,1.801
318,1.725
319,1.696
320,1.74
321,1.765
322,1.696
323,1.696
324,1.79
325,1.808
326,1.769
327,1.751
328,1.772
329,1.859
330,1.87
331,1.812
332,1.823
333,1.812
334,1.805
335,1.823
336,1.859
337,1.924
338,1.968
339,1.993
340,1.996
341,1.982
342,1.982
343,1.899
344,1.783
345,1.638
346,1.613
347,1.642
348,1.787
349,2.018
350,2.163
351,2.206
352,2.185
353,2.152
354,1.996
355,1.79
356,1.628
357,1.487
358,1.429
359,1.548
360,1.566
361,1.602
362,1.736
363,1.812
364,1.874
365,1.769
366,1.751
367,1.761
368,1.83
369,1.866
370,1.834
371,1.808
372,1.754
373,1.913
374,2.0
375,1.859
376,1.855
377,1.852
378,1.939
379,1.794
380,1.573
381,1.581
382,1.653
383,1.707
384,1.743
385,1.978
386,2.156
387,2.304
388,2.344
389,2.228
390,2.069
391,1.946
392,1.801
393,1.631
394,1.7
395,1.642
396,1.49
397,1.472
398,1.476
399,1.497
400,1.476
401,1.392
402,1.57
403,1.758
404,1.725
405,1.624
406,1.537
407,1.642
408,1.678
409,1.826
410,2.015
411,2.116
412,2.21
413,2.257
414,2.203
415,2.166
416,2.185
417,2.224
418,2.206
419,2.145
420,2.058
421,2.094
422,2.054
423,1.993
424,1.989
425,1.935
426,1.877
427,1.881
428,1.816
429,1.808
430,1.736
431,1.675
432,1.635
433,1.653
434,1.635
435,1.638
436,1.664
437,1.653
438,1.613
439,1.646
440,1.747
441,1.765
442,1.725
443,1.667
444,1.657
445,1.675
446,1.754
